1025	0.04169011116027832 0.05391082167625427 -0.003897935152053833 0.023011058568954468 0.026304379105567932 -0.026958689093589783 -0.022873565554618835 0.017011165618896484 -0.1409856081008911 0.1772002875804901 0.05210215970873833 0.05500824749469757 0.05491708219051361 -0.007562920451164246 -0.04795481637120247 0.03455314040184021 0.06357438862323761 0.04646453261375427 -0.007445722818374634 0.03866410255432129 -0.08007687330245972 -0.0467463880777359 -0.09335553646087646 -0.24726296961307526 -0.20311932265758514 0.005358636379241943 0.007133692502975464 -0.16027414798736572 0.08722471445798874 -0.03321978449821472 0.004960238933563232 -0.04813036322593689
1026	0.04169011116027832 0.05391082167625427 -0.003897935152053833 0.023011058568954468 0.026304379105567932 -0.026958689093589783 -0.022873565554618835 0.017011165618896484 -0.1409856081008911 0.1772002875804901 0.05210215970873833 0.05500824749469757 0.05491708219051361 -0.007562920451164246 -0.04795481637120247 0.03455314040184021 0.06357438862323761 0.04646453261375427 -0.007445722818374634 0.03866410255432129 -0.08007687330245972 -0.0467463880777359 -0.09335553646087646 -0.24726296961307526 -0.20311932265758514 0.005358636379241943 0.007133692502975464 -0.16027414798736572 0.08722471445798874 -0.03321978449821472 0.004960238933563232 -0.04813036322593689
1027	-3.1279807090759277 -3.4343605041503906 -3.2197322845458984 3.4183526039123535 3.354198694229126 1.9283115863800049 -3.1486523151397705 3.5190725326538086 -3.5823864936828613 3.4712719917297363 1.381518006324768 -3.251084566116333 3.4031319618225098 -2.8888754844665527 0.521939754486084 3.335820436477661 3.2297050952911377 3.1524605751037598 -3.4347634315490723 -3.3399972915649414 1.6848788261413574 3.4594860076904297 3.0518476963043213 -3.5353288650512695 -3.616865873336792 -3.2974064350128174 2.9889440536499023 3.27459979057312 2.8710145950317383 -1.231745719909668 2.2766072750091553 -3.5566062927246094
1028	0.42378467321395874 0.4802073836326599 0.35041993856430054 -0.3374468684196472 -0.32428640127182007 -0.26355668902397156 0.3077477216720581 -0.35962891578674316 0.13943946361541748 -0.06072515249252319 -0.05793005973100662 0.4618651270866394 -0.27727916836738586 0.30695974826812744 -0.14585520327091217 -0.30712705850601196 -0.2421521693468094 -0.2649329602718353 0.3677975535392761 0.4417837858200073 -0.33387768268585205 -0.4698665738105774 -0.5100222826004028 -0.060572147369384766 0.02938959002494812 0.3760114908218384 -0.31885963678359985 -0.6574084162712097 -0.1589718908071518 0.07590492814779282 -0.2437351495027542 0.30676180124282837
1029	0.4549131691455841 0.528141975402832 0.30332034826278687 -0.25553467869758606 -0.2376135289669037 -0.2848733067512512 0.22946122288703918 -0.28659307956695557 -0.1439906805753708 0.2825336754322052 0.047538429498672485 0.5139609575271606 -0.14161641895771027 0.257826566696167 -0.22036340832710266 -0.20673954486846924 -0.09403476864099503 -0.14671438932418823 0.3119947016239166 0.46512874960899353 -0.44806158542633057 -0.5053727030754089 -0.6294569969177246 -0.5230886936187744 -0.3595210909843445 0.3435843586921692 -0.26919329166412354 -0.8871767520904541 0.024616852402687073 0.004244379699230194 -0.206705704331398 0.18064215779304504
103	-0.08184076845645905 -0.07974991202354431 -0.14238490164279938 0.17460986971855164 0.1759597659111023 0.04889007657766342 -0.16291780769824982 0.17146015167236328 -0.32815220952033997 0.36838749051094055 0.12373242527246475 -0.07055743783712387 0.21358975768089294 -0.13280324637889862 -0.037267521023750305 0.1854204684495926 0.21693439781665802 0.19238266348838806 -0.1559772789478302 -0.09465658664703369 -0.027486652135849 0.08972202986478806 0.014415346086025238 -0.4581480622291565 -0.4068008363246918 -0.13420549035072327 0.13654479384422302 -0.05918775498867035 0.2309873104095459 -0.09388073533773422 0.10341501981019974 -0.21171635389328003
1030	-0.2617787718772888 -0.2793058753013611 -0.3161332607269287 0.35445326566696167 0.35151541233062744 0.16012495756149292 -0.32816073298454285 0.3582383990287781 -0.48799484968185425 0.5133292078971863 0.18592996895313263 -0.26043784618377686 0.38479095697402954 -0.28770148754119873 0.002800924703478813 0.35795801877975464 0.37660446763038635 0.3520529866218567 -0.3405243158340454 -0.2853572964668274 0.08355234563350677 0.28888630867004395 0.202879399061203 -0.5894017219543457 -0.5532928705215454 -0.3144361674785614 0.2969779372215271 0.15775629878044128 0.3654010593891144 -0.15257735550403595 0.2257291078567505 -0.39290764927864075
1031	0.2318733185529709 0.2713669538497925 0.14213192462921143 -0.111976757645607 -0.10219255089759827 -0.14553765952587128 0.09968140721321106 -0.1290486454963684 -0.12368284165859222 0.2035546451807022 0.04302021861076355 0.2650820016860962 -0.04546405375003815 0.11914175003767014 -0.12324558198451996 -0.08432316780090332 -0.019520461559295654 -0.051204994320869446 0.1448442041873932 0.23552098870277405 -0.24373453855514526 -0.25776293873786926 -0.3348769545555115 -0.3450639843940735 -0.2502191364765167 0.16484546661376953 -0.12469438463449478 -0.48327910900115967 0.045985475182533264 -0.011062748730182648 -0.09595292061567307 0.0666191577911377
1032	9.438414573669434 -0.3171684443950653 -15.431620597839355 3.157465934753418 0.11875277757644653 -5.420121192932129 -13.046783447265625 -7.05561637878418 16.338342666625977 -17.178117752075195 -15.007074356079102 -4.01586389541626 4.608184337615967 -1.3722623586654663 -10.459595680236816 5.6699676513671875 4.294349193572998 0.9807550311088562 -9.501882553100586 5.756239891052246 5.482432842254639 8.874618530273438 17.459665298461914 13.06145191192627 13.748296737670898 -5.010343551635742 -9.284149169921875 9.843733787536621 -10.94094467163086 3.573301076889038 1.024898648262024 9.372247695922852
1033	0.8334060311317444 0.947968602180481 0.6684014797210693 -0.633253812789917 -0.6062929630279541 -0.5188621878623962 0.576500415802002 -0.678938627243042 0.19065144658088684 -0.02047392725944519 -0.08270113170146942 0.9134648442268372 -0.5008915662765503 0.5832632780075073 -0.30498915910720825 -0.5690038800239563 -0.42900174856185913 -0.48183372616767883 0.6997361779212952 0.8662115335464478 -0.6821103692054749 -0.9243122935295105 -1.026324987411499 -0.2494673728942871 -0.05348561704158783 0.7223694324493408 -0.6062647700309753 -1.344487190246582 -0.25706613063812256 0.12729480862617493 -0.46369290351867676 0.5609708428382874
1034	0.3627183735370636 0.22876568138599396 1.136749267578125 -1.0589287281036377 -2.435612678527832 4.962195873260498 0.8169716596603394 1.052587628364563 1.8195583820343018 -0.951166570186615 1.9414794445037842 -1.375286340713501 -1.7575092315673828 2.443164110183716 7.424231052398682 -1.6661638021469116 -4.91340446472168 0.09316204488277435 1.3398172855377197 -4.903873920440674 3.208817958831787 0.8422441482543945 1.4576611518859863 1.5528712272644043 0.9747179746627808 0.22699427604675293 1.827996015548706 3.0451602935791016 -0.3868406414985657 0.5136638879776001 -3.458444356918335 -0.6372883319854736
1035	11.178340911865234 -27.384239196777344 -46.06370544433594 3.7428200244903564 2.3306448459625244 -23.13578987121582 -39.370628356933594 -19.320472717285156 48.34825134277344 -62.604637145996094 -54.907039642333984 -9.846210479736328 13.741560935974121 -10.247773170471191 -34.12993621826172 28.084917068481445 19.2177791595459 -11.046250343322754 -35.09965515136719 19.769683837890625 0.7375907897949219 30.447376251220703 53.39702224731445 64.37197875976562 58.72039794921875 -26.529354095458984 -33.162078857421875 42.47602844238281 -45.22368240356445 2.0932517051696777 5.303749084472656 31.385292053222656
1036	-33.52709197998047 -42.05513000488281 12.571680068969727 -13.126511573791504 1.9855886697769165 -8.88913345336914 9.910601615905762 6.613612651824951 -12.325470924377441 -6.3732757568359375 -6.211469650268555 8.508886337280273 -4.338207721710205 -8.1077299118042 1.9734666347503662 13.4722318649292 6.815311908721924 -25.11270523071289 -2.9614672660827637 2.0647072792053223 -31.74854850769043 -1.8020745515823364 -12.787140846252441 32.26825714111328 19.323890686035156 -14.261954307556152 -3.6995670795440674 11.777746200561523 -13.590145111083984 -16.750215530395508 2.0513947010040283 0.05853986740112305
1037	0.06165562570095062 0.07700173556804657 0.009922385215759277 0.011051833629608154 0.015105143189430237 -0.03944769501686096 -0.012099131941795349 0.0037394315004348755 -0.14525672793388367 0.1871749460697174 0.053423210978507996 0.07743838429450989 0.04761342704296112 0.004252582788467407 -0.05718123912811279 0.024622082710266113 0.058290138840675354 0.03906513750553131 0.006824925541877747 0.0591413676738739 -0.099116250872612 -0.06891945004463196 -0.12040962278842926 -0.2670254707336426 -0.21617034077644348 0.02085687220096588 -0.005190625786781311 -0.19794505834579468 0.08694303035736084 -0.03249477595090866 -0.0044949352741241455 -0.03916540741920471
